"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"USGS","373915105393901","U.S. Geological Survey","NA04001233DDD","37.6630019948957","-105.65534919023","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7579","1","Feet","NGVD29","Altimeter","+/- 2 ft","12","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373915105393901"
"USGS","373950105342801","U.S. Geological Survey","SC02707329ABA  RG44","37.6638912914963","-105.575013619499","NAD83","Interpolated from map","Accurate to +/- 5 seconds","7835","1","Feet","NGVD29","Altimeter","+/- 1 ft","100","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373950105342801"
"USGS","373950105534001","U.S. Geological Survey","NA04001033BCB","37.6715843092589","-105.891382669695","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7559","1","Feet","NGVD29","Altimeter","+/- 2 ft","135","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","CONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373950105534001"
"USGS","374012105410401","U.S. Geological Survey","NA04001232BAA  RG42","37.6700016956755","-105.685016668971","NAD83","Interpolated from map","Accurate to +/- 5 seconds","7539","1","Feet","NAVD88","Interpolated from digital elevation model (DEM)","+/- 1.6 ft","30","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/374012105410401"
"USGS","374448105445401","U.S. Geological Survey","NA04001110AAA","37.7345556128395","-105.746323813015","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7533","1","Feet","NGVD29","Level or other surveying method","+/- .5 ft","43","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/374448105445401"
"USGS","373310105383001","U.S. Geological Survey","NA03801202CBC","37.566698479103","-105.638432245546","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7562","1","Feet","NGVD29","Altimeter","+/- 2 ft","18","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373310105383001"
"USGS","373125105450001","U.S. Geological Survey","NA03801114CCC","37.5329763702981","-105.748213123207","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7524","1","Feet","NGVD29","Altimeter","+/- 2 ft","14","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373125105450001"
"USGS","373215105440001","U.S. Geological Survey","NA03801112CCC","37.5481428237579","-105.729879255286","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7521","1","Feet","NGVD29","Altimeter","+/- 2 ft","22","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373215105440001"
"USGS","373350105430001","U.S. Geological Survey","NA03801101AAA","37.5753367966536","-105.714323218497","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7514","1","Feet","NGVD29","Altimeter","+/- 2 ft","15","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373350105430001"
"USGS","373400105513001","U.S. Geological Survey","NA03801002BBB","37.5750861047029","-105.858271126062","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7545","1","Feet","NGVD29","Altimeter","+/- 5. ft","21","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373400105513001"
"USGS","373450105592901","U.S. Geological Survey","NA03900933ABA","37.5886963966115","-105.989774068349","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7588","1","Feet","NGVD29","Interpolated from topographic map","+/- 10 ft","86","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373450105592901"
"USGS","372930105450001","U.S. Geological Survey","NA03801135BBB","37.5030603125288","-105.748157620812","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7524","1","Feet","NGVD29","Altimeter","+/- 2 ft","22","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/372930105450001"
"USGS","373355105461201","U.S. Geological Survey","NA03801104AAA","37.5752809741231","-105.767296826349","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7523","1","Feet","NGVD29","Altimeter","+/- 2 ft","15","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373355105461201"
"USGS","372550105455001","U.S. Geological Survey","NA03701122CCC1   ALA 4","37.4305619748575","-105.764463404203","NAD83","Interpolated from map","Accurate to +/- 10 seconds","7520","1","Feet","NGVD29","Reported","+/- 1 ft","2062","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","CONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/372550105455001"
"USGS","373202105400501","U.S. Geological Survey","NA03801216BAA","37.5471987314161","-105.665849709186","NAD83","Interpolated from map","Accurate to +/- 5 seconds","7534","1","Feet","NGVD29","Altimeter","+/- 2 ft","18","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373202105400501"
